PARTY,SYMBOL
BJP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Bharatiya_Janata_Party_logo.svg/1200px-Bharatiya_Janata_Party_logo.svg.png
INC,https://upload.wikimedia.org/wikipedia/commons/6/63/Indian_National_Congress_hand_logo.png
DMK,https://upload.wikimedia.org/wikipedia/en/5/5e/Dravida_Munnetra_Kazhagam_logo.png
AITC,https://goemkarponn.com/wp-content/uploads/2021/10/Trinamool_Congress_flag1-400x400.png
YSRCP,https://www.ysrcongress.com/sites/default/files/article_images/2020/03/13/YSRCP%20Logo-1.jpg
SHS,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Logo_of_Shiv_Sena.svg/800px-Logo_of_Shiv_Sena.svg.png
JD(U),https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Janata_Dal_%28United%29_Flag.svg/1200px-Janata_Dal_%28United%29_Flag.svg.png
BJD,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Indian_Election_Symbol_Conch.svg/1200px-Indian_Election_Symbol_Conch.svg.png
BSP,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Elephant_Bahujan_Samaj_Party.svg/1200px-Elephant_Bahujan_Samaj_Party.svg.png
TRS,https://trspartyonline.org/wp-content/uploads/2018/10/trs-party-logo-medium.jpg
LJP,https://upload.wikimedia.org/wikipedia/commons/5/51/Lok_Janshakti_Party_Symbol.jpg
NCP,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_Nationalist_Congress_Party.svg
SP,https://upload.wikimedia.org/wikipedia/commons/6/65/Samajwadi_Party_Flag.jpg
CPI(M),https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Cpm_election_symbol.svg/1200px-Cpm_election_symbol.svg.png
IND,https://independentvenueweek.com/us/wp-content/uploads/sites/2/2022/05/IVW-Inverted-LOGO-1536x793-1.png
IUML,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Indian_Election_Symbol_Lader.svg/100px-Indian_Election_Symbol_Lader.svg.png
TDP,https://www.voteforcycle.com/static/img/cycle.0f6d514.png
JKN,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/JKNC-flag.svg/260px-JKNC-flag.svg.png
ADAL,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Apna_dal_Flag.jpg/1200px-Apna_dal_Flag.jpg
AIMIM,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/All_India_Majlis-e-Ittehadul_Muslimeen_logo.svg/1200px-All_India_Majlis-e-Ittehadul_Muslimeen_logo.svg.png
SAD,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/SAD_flag.svg/800px-SAD_flag.svg.png
RLTP,https://myneta.info/party/lib/img/party/1636.png
SKM,https://northeasttoday.s3.amazonaws.com/assets/resources/2022/01/03153524/avatars-000594165066-fqcl3q-t500x500.jpg
